fecha,spot,cts,mes
07/02/2020,-0.0311481943026628,0.0763729787845744,2-2020
06/03/2020,-0.0676751956712245,-0.0923733201310153,3-2020
03/04/2020,-0.2184866733086510,-0.2353140869344650,4-2020
01/05/2020,-0.0194640476435133,-0.0206192872027353,5-2020
05/06/2020,-0.0634011367567542,-0.0870113769896301,6-2020
03/07/2020,-0.0959019925008935,0.1076306641923650,7-2020
07/08/2020,-0.0781616300039190,-0.0631789016215314,8-2020
04/09/2020,0.1494775436783630,0.5280674302004970,9-2020
02/10/2020,0.8979029822071260,0.2076393647782440,10-2020
06/11/2020,0.0580888101567876,0.1084806429940700,11-2020
04/12/2020,0.1803904493360700,0.2324459439765240,12-2020
01/01/2021,0.3097539113182660,0.1251631429540060,1-2021
05/02/2021,0.1996020292735190,-0.0332256476283206,2-2021
05/03/2021,0.0223959844767414,-0.0993724738132036,3-2021
02/04/2021,-0.0675273167423764,0.0719734996250896,4-2021
07/05/2021,-0.0411086697486986,0.0606246218164346,5-2021
04/06/2021,0.2643000513012680,0.1735687656843600,6-2021
02/07/2021,0.1244091194764730,0.1042610103244100,7-2021
06/08/2021,0.0508890009674605,0.0530244683082204,8-2021
03/09/2021,0.1028641374851700,0.0897462878562747,9-2021
01/10/2021,0.0724050447344471,0.0420229897748481,10-2021
05/11/2021,0.0816316143726805,0.0323914957912352,11-2021
03/12/2021,-0.0094181185333522,0.0504961640145325,12-2021
