periodo,consumo,metalicos
1993/01,6094268,67755.61
1993/02,6304694,56969.63
1993/03,6243679,62233.186
1993/04,6598255,60896.951
1994/01,6258159,68894.711
1994/02,6643072,64675.616
1994/03,6683957,65207.057
1994/04,6993988,64629.772
1995/01,6175113,66454.189
1995/02,6181258,47324.777
1995/03,6211964,52158.99
1995/04,6448570,55699.037
1996/01,6291059,63871.459
1996/02,6402541,57530.832
1996/03,6521077,65638.771
1996/04,6936205,65653.81
1997/01,6569605,72999.706
1997/02,7017809,68166.395
1997/03,7048659,72187.162
1997/04,7471271,73684.177
1998/01,7184233,80896.288
1998/02,7465643,70698.294
1998/03,7504539,82462.022
1998/04,7755478,76463.701
1999/01,7494212,86833.136
1999/02,7778286,78442.5
1999/03,7891798,85396.718
1999/04,8191298,81168.439
2000/01,7995279,91972.621
2000/02,8327866,79177.775
2000/03,8464174,91009.614
2000/04,8803108,87021.542
2001/01,8333674,86857.444
2001/02,8589457,74802.011
2001/03,8598756,85041.699
2001/04,8910441,78412.705
2002/01,8368227,78673.534
2002/02,8872557,75969.825
2002/03,8780948,79837.2
2002/04,8993782,76550.777
2003/01,8634774,82052.702
2003/02,8902168,71503.381
2003/03,8938980,78437.958
2003/04,9320337,75579.183
2004/01,8948120,84541.241
2004/02,9320109,79606.7
2004/03,9436175,87222.153
2004/04,9799812,83108.134
2005/01,9203650,89227.978
2005/02,9681219,86528.55
2005/03,9698127,91047.433
2005/04,9955980,87630.083
2006/01,9642857,97063.061
2006/02,10056964,94725.17
2006/03,10058452,98323.248
2006/04,10345043,88352.621
2007/01,9931874,97870.939
2007/02,10334915,95750.13
2007/03,10303255,97280.654
2007/04,10539633,86884.289
2008/01,10095454,94805.188
2008/02,10579402,101131.472
2008/03,10433580,94332.812
2008/04,10292371,88819.505
2009/01,9316384,80807.838
2009/02,9468403,79448.714
2009/03,9777917,82610.993
2009/04,10250089,83630.851
2010/01,9622141,84540.565
2010/02,9983656,89855.954
2010/03,10086402,93504.883
2010/04,10514585,92122.382
2011/01,9928764,94360.047
2011/02,10281404,94126.326
2011/03,10524306,97650.407
2011/04,10823395,98322.656
2012/01,10406188,96572.106
2012/02,10473988,99443.307
2012/03,10644917,99013.908
2012/04,11004923,95535.663
2013/01,10466307,86645.949
2013/02,10748059,91869.511
2013/03,10842283,88916.083
2013/04,11220354,87041.718
2014/01,10664209,90711.893
2014/02,10958100,94611.272
2014/03,11102628,95800.321
2014/04,11481939,94865.898
2015/01,10967235,98337.669
2015/02,11131185,99489.887
2015/03,11411066,97056.434
2015/04,11886275,94954.241
2016/01,11377792,98081.705
2016/02,11562188,99011.665
2016/03,11833020,94768.316
2016/04,12283970,98391.034
2017/01,11825726,100982.641
2017/02,11970250,97470.281
2017/03,12200593,92117.809
2017/04,12560437,89591.321
2018/01,12118988,91958.305
2018/02,12403088,97244.161
2018/03,12536799,91796.343
2018/04,12742356,92980.112
2019/01,12216950,94462.4
2019/02,12343405,98197.155
2019/03,12602489,95989.119
2019/04,12817956,94353.722
2020/01,12179840,96181.881
2020/02,9704937,64421.053
2020/03,11038761,93197.797
2020/04,11888882,98233.149
2021/01,11619208,102575.943
2021/02,11978512,103127.971
2021/03,12008945,102978.857
2021/04,12562326,103061.256
2022/01,12452892,104006.733
2022/02,12346252.32,103891.219
2022/03,12484379.13,
2022/04,12861434.98,
2023/01,12402084.2,
2023/02,12588609.25,
2023/03,12763529.85,
2023/04,13177183.21,
