periodo,i,inf
1980/01,19.81615385,22.53666667
1980/02,22.18615385,25.11666667
1980/03,21.91384615,28.35666667
1980/04,26.12230769,28.94
1981/01,28.80846154,27.95333333
1981/02,28.30307692,28.37333333
1981/03,32.63384615,26.85333333
1981/04,33.52928571,28.54666667
1982/01,35.16666667,32.77
1982/02,43.24,44.25
1982/03,53.00928571,65.50333333
1982/04,51.38846154,87.44333333
1983/01,62.26538462,112.7933333
1983/02,63.01615385,114.7866667
1983/03,58.43461538,101.33
1983/04,54.22076923,87.68
1984/01,49.80846154,72.98666667
1984/02,49.56307692,67.87
1984/03,50.60923077,63.33666667
1984/04,48.37153846,60.44
1985/01,51.58769231,59.40666667
1985/02,61.20230769,55.02
1985/03,71.62230769,55.76666667
1985/04,69.89384615,60.53
1986/01,76.91769231,66.64
1986/02,82.45076923,76.90666667
1986/03,90.5,91.35
1986/04,106.07,103
1987/01,103.9938462,109.2633333
1987/02,98.84230769,124.1966667
1987/03,96.30538462,134.1666667
1987/04,113.7042857,147.94
1988/01,125.7738462,177.4633333
1988/02,43.51538462,148.3566667
1988/03,32.45,107.9833333
1988/04,40.06,67.91666667
1989/01,49.55769231,27.16666667
1989/02,53.148,18.44
1989/03,36.148,16.98666667
1989/04,39.83307692,18.68
1990/01,42.99166667,23.48333333
1990/02,38.49230769,25.14333333
1990/03,31.22153846,27.96333333
1990/04,27.70692308,29.58666667
1991/01,23.30846154,26.53666667
1991/02,20.04461538,24.35333333
1991/03,18.29461538,20.99333333
1991/04,17.70615385,19.47666667
1992/01,14.35846154,17.35666667
1992/02,13.15923077,16.25666667
1992/03,17.58461538,15.44666667
1992/04,18.43071429,13.24
1993/01,18.345,10.89
1993/02,16.37230769,9.986666667
1993/03,14.33,9.6
1993/04,12.89461538,8.623333333
1994/01,10.28923077,7.26
1994/02,16.645,6.926666667
1994/03,15.33230769,6.753333333
1994/04,15.92769231,6.936666667
1995/01,52.26846154,14.99
1995/02,57.02769231,33.75333333
1995/03,36.58615385,41.65333333
1995/04,48.29153846,48.69666667
1996/01,41.67538462,48.14
1996/02,32.49923077,34.19333333
1996/03,29.50615385,30.54333333
1996/04,27.70384615,28.14666667
1997/01,23.08538462,25.51333333
1997/02,21.52461538,21.30333333
1997/03,19.97153846,19.21333333
1997/04,20.49642857,17.24333333
1998/01,19.91666667,15.29666667
1998/02,19.74461538,15.12666667
1998/03,27.97416667,15.61
1998/04,35.47357143,17.55666667
1999/01,27.94384615,18.60666667
1999/02,21.13666667,17.87666667
1999/03,21.18428571,16.48333333
1999/04,18.77846154,13.71666667
2000/01,15.98076923,10.55
2000/02,15.60615385,9.54
2000/03,15.51076923,9.023333333
2000/04,17.53307692,8.913333333
2001/01,17.58384615,7.456666667
2001/02,12.75076923,6.876666667
2001/03,9.784615385,5.983333333
2001/04,8.636153846,5.226666667
2002/01,7.588461538,4.746666667
2002/02,6.77,4.773333333
2002/03,7.549230769,5.25
2002/04,7.811538462,5.343333333
2003/01,8.874615385,5.44
2003/02,6.498461538,4.74
2003/03,5.199230769,4.07
2003/04,5.623571429,3.973333333
2004/01,5.648333333,4.32
2004/02,6.703846154,4.29
2004/03,7.518571429,4.79
2004/04,8.486923077,5.34
2005/01,9.299230769,4.4
2005/02,9.883076923,4.51
2005/03,9.493076923,3.976666667
2005/04,8.600769231,3.096666667
2006/01,7.568461538,3.7
2006/02,7.246923077,3.126666667
2006/03,7.173076923,3.54
2006/04,7.174615385,4.143333333
2007/01,7.198461538,4.1
2007/02,7.32,3.973333333
2007/03,7.362307692,3.986666667
2007/04,7.546923077,3.81
2008/01,7.523076923,3.89
2008/02,7.633846154,4.92
2008/03,8.285384615,5.476666667
2008/04,8.105714286,6.18
2009/01,7.4,6.173333333
2009/02,5.461538462,5.963333333
2009/03,4.628461538,5.136666667
2009/04,4.616428571,3.976666667
2010/01,4.629230769,4.753333333
2010/02,4.64,3.96
2010/03,4.628571429,3.673333333
2010/04,4.4,4.246666667
2011/01,4.344615385,3.463333333
2011/02,4.406153846,3.296666667
2011/03,4.26,3.37
2011/04,4.397692308,3.5
2012/01,4.427692308,3.883333333
2012/02,4.396923077,3.866666667
2012/03,4.328461538,4.586666667
2012/04,4.347692308,4.116666667
2013/01,4.169230769,3.683333333
2013/02,3.809230769,4.456666667
2013/03,3.823076923,3.44
2013/04,3.453846154,3.65
2014/01,3.366153846,4.156666667
2014/02,3.292307692,3.586666667
2014/03,2.886923077,4.146666667
2014/04,2.931428571,4.183333333
2015/01,2.988333333,3.07
2015/02,3.097692308,2.936666667
2015/03,3.258461538,2.616666667
2015/04,3.212142857,2.273333333
2016/01,3.605384615,2.693333333
2016/02,3.98,2.56
2016/03,4.416153846,2.783333333
2016/04,5.430769231,3.243333333
2017/01,6.406153846,4.976666667
2017/02,6.858461538,6.096666667
2017/03,7.093846154,6.483333333
2017/04,7.173846154,6.59
2018/01,7.534615385,5.31
2018/02,7.751538462,4.57
2018/03,7.901538462,4.91
2018/04,8.142307692,4.816666667
2019/01,8.151538462,4.103333333
2019/02,8.181538462,4.213333333
2019/03,7.952307692,3.313333333
2019/04,7.463076923,2.94
