periodo,TIIE_a_91
01/01/1997,25.38
01/02/1997,23.54
01/03/1997,23.73
01/04/1997,23.97
01/05/1997,21.73
01/06/1997,22.41
01/07/1997,20.73
01/08/1997,21.27
01/09/1997,21.27
01/10/1997,20.47
01/11/1997,22.55
01/12/1997,20.48
01/01/1998,19.95
01/02/1998,20.67
01/03/1998,21.83
01/04/1998,20.44
01/05/1998,20.27
01/06/1998,21.79
01/07/1998,22.66
01/08/1998,27.2
01/09/1998,40.35
01/10/1998,38.69
01/11/1998,35.56
01/12/1998,36.29
01/01/1999,35.45
01/02/1999,31.35
01/03/1999,26.37
01/04/1999,22.99
01/05/1999,23.26
01/06/1999,23.77
01/07/1999,22.98
01/08/1999,24.36
01/09/1999,23.43
01/10/1999,22.41
01/11/1999,20.09
01/12/1999,19.06
01/01/2000,18.69
01/02/2000,18.12
01/03/2000,15.86
01/04/2000,15.1
01/05/2000,16.77
01/06/2000,17.73
01/07/2000,15.4
01/08/2000,16.84
01/09/2000,17.13
01/10/2000,17.99
01/11/2000,18.76
01/12/2000,18.39
01/01/2001,18.86
01/02/2001,18.36
01/03/2001,17.22
01/04/2001,16.31
01/05/2001,14.22
01/06/2001,11.9
01/07/2001,11.6
01/08/2001,10.22
01/09/2001,12.19
01/10/2001,11.16
01/11/2001,10.21
01/12/2001,8.87
01/01/2002,8.44
01/02/2002,9.06
01/03/2002,8.61
01/04/2002,7.12
01/05/2002,7.63
01/06/2002,8.65
01/07/2002,8.73
01/08/2002,7.95
01/09/2002,8.74
01/10/2002,9.1
01/11/2002,8.73
01/12/2002,8.64
01/01/2003,9.38
01/02/2003,9.85
01/03/2003,10.04
01/04/2003,8.7
01/05/2003,6.74
01/06/2003,6.19
01/07/2003,5.7
01/08/2003,5.54
01/09/2003,5.5
01/10/2003,5.93
01/11/2003,5.83
01/12/2003,6.57
01/01/2004,5.55
01/02/2004,6.07
01/03/2004,6.55
01/04/2004,6.37
01/05/2004,7.31
01/06/2004,7.59
01/07/2004,7.63
01/08/2004,7.84
01/09/2004,8.06
01/10/2004,8.46
01/11/2004,8.85
01/12/2004,9.03
01/01/2005,9.03
01/02/2005,9.59
01/03/2005,9.98
01/04/2005,10.22
01/05/2005,10.21
01/06/2005,10.01
01/07/2005,10.03
01/08/2005,10.03
01/09/2005,9.45
01/10/2005,9.25
01/11/2005,9.14
01/12/2005,8.64
01/01/2006,8.16
01/02/2006,7.93
01/03/2006,7.78
01/04/2006,7.72
01/05/2006,7.59
01/06/2006,7.68
01/07/2006,7.57
01/08/2006,7.48
01/09/2006,7.5
01/10/2006,7.65
01/11/2006,7.62
01/12/2006,7.6
01/01/2007,7.67
01/02/2007,7.67
01/03/2007,7.68
01/04/2007,7.61
01/05/2007,7.83
01/06/2007,7.82
01/07/2007,7.78
01/08/2007,7.79
01/09/2007,7.77
01/10/2007,7.78
01/11/2007,8.01
01/12/2007,8
01/01/2008,7.99
01/02/2008,7.93
01/03/2008,7.94
01/04/2008,7.96
01/05/2008,7.96
01/06/2008,8.1
01/07/2008,8.49
01/08/2008,8.71
01/09/2008,8.74
01/10/2008,8.76
01/11/2008,8.83
01/12/2008,8.82
01/01/2009,8.41
01/02/2009,7.86
01/03/2009,7.54
01/04/2009,6.5
01/05/2009,5.65
01/06/2009,5.18
01/07/2009,4.91
01/08/2009,4.95
01/09/2009,5
01/10/2009,5
01/11/2009,5.08
01/12/2009,5.07
01/01/2010,5.06
01/02/2010,5.03
01/03/2010,5.03
01/04/2010,5.03
01/05/2010,5.04
01/06/2010,5.01
01/07/2010,5.01
01/08/2010,4.99
01/09/2010,4.98
01/10/2010,4.95
01/11/2010,4.92
01/12/2010,4.95
01/01/2011,4.92
01/02/2011,4.88
01/03/2011,4.87
01/04/2011,4.88
01/05/2011,4.88
01/06/2011,4.89
01/07/2011,4.86
01/08/2011,4.85
01/09/2011,4.8
01/10/2011,4.81
01/11/2011,4.81
01/12/2011,4.81
01/01/2012,4.8
01/02/2012,4.8
01/03/2012,4.79
01/04/2012,4.76
01/05/2012,4.78
01/06/2012,4.78
01/07/2012,4.79
01/08/2012,4.8
01/09/2012,4.82
01/10/2012,4.84
01/11/2012,4.86
01/12/2012,4.86
01/01/2013,4.86
01/02/2013,4.82
01/03/2013,4.49
01/04/2013,4.34
01/05/2013,4.32
01/06/2013,4.31
01/07/2013,4.32
01/08/2013,4.31
01/09/2013,4.11
01/10/2013,3.97
01/11/2013,3.79
01/12/2013,3.79
01/01/2014,3.8
01/02/2014,3.8
01/03/2014,3.81
01/04/2014,3.81
01/05/2014,3.82
01/06/2014,3.44
01/07/2014,3.31
01/08/2014,3.31
01/09/2014,3.3
01/10/2014,3.3
01/11/2014,3.3
01/12/2014,3.31
01/01/2015,3.31
01/02/2015,3.31
01/03/2015,3.33
01/04/2015,3.31
01/05/2015,3.31
01/06/2015,3.31
01/07/2015,3.32
01/08/2015,3.35
01/09/2015,3.36
01/10/2015,3.32
01/11/2015,3.38
01/12/2015,3.5
01/01/2016,3.59
01/02/2016,3.78
01/03/2016,4.11
01/04/2016,4.12
01/05/2016,4.14
01/06/2016,4.21
01/07/2016,4.66
01/08/2016,4.69
01/09/2016,4.72
01/10/2016,5.19
01/11/2016,5.59
01/12/2016,6.02
01/01/2017,6.28
01/02/2017,6.57
01/03/2017,6.78
01/04/2017,6.93
01/05/2017,7.05
01/06/2017,7.31
01/07/2017,7.38
01/08/2017,7.39
01/09/2017,7.39
01/10/2017,7.4
01/11/2017,7.41
01/12/2017,7.56
01/01/2018,7.7
01/02/2018,7.84
01/03/2018,7.86
01/04/2018,7.86
01/05/2018,7.89
01/06/2018,8.02
01/07/2018,8.15
01/08/2018,8.14
01/09/2018,8.17
01/10/2018,8.17
01/11/2018,8.37
01/12/2018,8.5
01/01/2019,8.62
01/02/2019,8.57
01/03/2019,8.52
01/04/2019,8.5
01/05/2019,8.51
01/06/2019,8.52
01/07/2019,8.45
01/08/2019,8.33
01/09/2019,8.11
01/10/2019,7.89
01/11/2019,7.7
01/12/2019,7.56
01/01/2020,7.44
01/02/2020,7.3
